USER_ID,WHITE,ALCHY,JUNKY,SUPER,MARRIED,FELON,WORKREL,PROPTY,PERSON,MALE,PRIORS,SCHOOL,RULE,AGE,TSERVD,FOLLOW,RECID,TIME,FILE
2,1,0,0,1,0,0,0,0,0,1,1,8,0,671,1,81,0,0,3
3,1,0,0,1,0,0,0,0,0,1,2,11,0,507,1,80,0,0,3
4,1,1,0,1,1,0,1,0,0,1,0,7,2,441,30,72,0,0,1
5,1,0,0,1,1,0,0,0,0,1,0,11,0,303,4,81,0,0,2
6,1,0,0,0,0,0,1,0,0,1,0,0,3,272,13,76,0,0,3
7,1,0,0,0,0,0,0,0,0,1,1,10,2,263,17,76,1,50,3
8,1,0,0,1,0,0,1,0,0,1,1,9,1,276,43,71,1,29,2
9,1,0,0,1,0,0,1,0,0,1,1,6,3,301,18,73,1,32,3
10,0,0,0,1,0,1,0,1,0,1,0,12,5,257,40,78,1,28,3
11,0,0,0,0,1,0,0,0,0,1,2,9,0,395,3,76,0,0,3
12,1,0,0,0,0,0,1,0,0,0,0,14,0,329,9,70,0,0,1
13,0,0,0,0,0,1,0,0,0,1,0,10,0,277,8,76,0,0,2
14,1,0,0,0,1,1,0,0,0,1,0,9,4,273,25,79,0,0,2
15,0,0,0,0,0,0,1,0,0,1,15,0,0,727,12,77,0,0,3
16,0,0,0,1,0,1,1,1,0,1,0,12,0,307,19,75,0,0,1
17,0,0,0,0,0,0,0,0,0,0,0,9,0,287,3,80,0,0,3
18,1,0,0,1,0,1,0,1,0,1,4,10,1,350,25,72,0,0,3
19,0,0,0,1,0,1,1,1,0,1,0,10,0,238,26,80,0,0,3
20,1,0,0,1,0,1,1,0,0,1,0,16,0,301,17,79,1,67,2
21,0,0,0,1,0,0,0,0,0,1,5,12,0,381,2,78,1,20,3
22,1,0,0,0,1,0,0,1,0,1,8,9,0,292,7,73,1,5,2
23,1,0,0,0,1,1,1,0,1,1,1,8,4,307,48,79,1,6,3
24,1,0,0,1,0,0,0,0,0,1,7,6,0,669,9,73,0,0,3
25,1,0,0,0,0,0,1,1,0,1,0,9,5,262,27,81,1,9,1
26,1,0,0,0,0,0,0,0,0,1,6,6,0,497,9,79,0,0,3
27,1,0,0,1,0,0,0,0,0,1,0,10,3,242,20,80,1,39,2
28,1,0,0,1,0,0,0,0,0,0,0,9,0,607,3,73,0,0,3
29,0,0,0,1,0,1,0,1,0,1,1,9,0,305,9,78,1,70,3
30,0,0,0,1,1,1,1,0,1,1,0,3,1,345,76,76,0,0,3
31,1,0,0,1,1,1,1,1,0,1,1,12,0,428,41,72,0,0,3
32,0,0,1,1,0,1,0,1,0,1,2,9,2,250,52,81,1,16,2
33,0,0,0,1,0,0,1,0,0,1,0,11,0,289,8,71,0,0,3
34,0,0,0,1,0,0,0,0,0,1,0,10,1,226,12,76,1,28,3
35,1,0,0,1,0,1,0,0,0,1,0,8,1,229,21,75,1,19,3
36,1,0,0,1,1,0,1,0,0,1,1,12,1,308,12,80,0,0,3
37,1,0,1,1,0,1,1,1,0,1,2,9,3,253,38,76,1,25,1
38,1,0,0,0,1,0,0,0,0,1,0,6,1,331,20,71,0,0,2
39,0,0,0,1,0,0,0,0,0,1,0,2,0,338,2,72,0,0,3
40,0,0,0,1,1,0,1,0,0,1,4,4,2,494,18,78,0,0,3
41,1,0,0,0,0,0,0,0,0,1,0,11,0,218,3,81,1,14,3
42,0,0,0,0,0,0,0,0,0,1,0,14,0,411,5,70,0,0,3
43,1,0,0,1,0,0,0,0,0,1,-9,6,0,623,13,75,1,70,3
44,0,0,0,1,1,0,1,0,0,0,0,12,0,349,9,80,1,58,2
45,1,0,0,1,0,1,1,1,0,1,0,8,0,295,27,81,0,0,3
46,1,0,0,1,0,0,0,0,0,0,0,12,0,308,3,72,0,0,3
47,1,0,1,1,0,0,0,0,0,1,0,9,0,244,4,81,0,0,1
48,1,0,0,0,0,1,0,1,0,1,1,9,1,239,23,74,1,58,3
49,0,0,0,1,1,1,0,0,0,1,0,11,6,295,31,77,1,20,3
50,1,0,1,1,0,1,0,0,1,1,0,9,1,253,18,71,0,0,2
51,1,0,0,0,0,0,0,0,0,1,1,7,1,230,3,74,0,0,3
52,0,0,0,1,0,0,1,1,0,1,0,6,0,257,19,79,0,0,2
53,0,0,0,1,0,0,1,0,0,1,1,12,0,277,13,79,0,0,1
54,0,1,0,1,1,0,0,0,0,1,0,4,0,519,4,70,0,0,2
55,0,0,0,1,1,0,1,0,0,1,-9,15,0,350,33,80,0,0,3
56,0,0,0,0,1,0,0,0,0,1,2,8,0,399,6,74,0,0,2
57,0,1,0,1,0,0,0,0,0,1,0,12,2,327,28,73,0,0,1
58,0,0,0,1,1,0,0,0,0,1,0,13,0,336,12,79,0,0,3
59,1,0,0,0,1,0,0,0,0,1,0,10,0,257,5,80,1,60,2
60,1,0,0,0,0,0,0,0,0,1,0,14,0,598,8,76,0,0,3
61,1,0,0,1,0,1,0,1,0,1,-9,12,1,378,40,72,0,0,3
62,0,0,0,1,0,1,1,1,0,1,5,10,3,353,73,73,1,20,2
63,1,0,0,1,1,0,0,0,0,0,0,0,0,245,10,78,0,0,3
64,0,0,0,1,0,1,1,1,0,1,-9,12,2,330,44,71,0,0,3
65,0,0,0,1,0,1,1,1,0,1,2,10,3,314,34,73,0,0,1
66,0,0,0,0,0,0,0,0,0,1,0,14,1,287,5,76,0,0,3
67,0,0,0,1,0,0,0,0,0,1,0,9,0,234,36,77,1,33,2
68,0,0,0,1,0,1,0,1,0,1,0,10,7,234,28,70,0,0,3
69,0,0,0,1,0,1,1,0,0,0,1,9,2,361,33,71,0,0,2
70,1,0,0,1,0,0,1,0,0,1,0,9,0,235,1,71,0,0,3
71,0,0,0,1,0,1,1,1,0,1,-9,11,1,315,26,78,0,0,3
72,1,0,0,1,1,0,0,0,0,1,2,10,0,388,14,73,1,54,1
73,0,0,0,1,0,0,0,0,0,1,0,9,0,199,4,80,0,0,3
74,0,0,0,1,0,1,0,1,0,1,0,9,2,226,26,78,1,57,3
75,0,0,0,0,0,0,0,0,0,1,0,11,1,212,7,73,0,0,2
76,0,0,0,0,0,0,0,0,0,1,1,6,0,423,5,71,1,7,2
77,0,0,0,0,0,0,0,0,0,1,0,10,0,248,6,78,0,0,3
78,0,0,0,1,1,1,1,0,1,1,1,12,4,503,132,74,0,0,3
79,0,0,0,1,0,1,1,0,1,0,0,6,0,275,36,73,1,35,1
80,0,0,0,0,0,0,0,0,0,1,0,10,0,200,7,73,0,0,3
81,0,0,0,1,1,1,1,1,0,1,0,6,0,344,63,81,0,0,3
82,0,1,0,1,0,0,1,0,0,1,0,12,0,370,8,71,0,0,2
83,1,0,1,1,1,0,1,0,0,1,7,10,0,382,36,81,0,0,2
84,0,0,0,1,1,1,1,0,0,1,0,11,2,430,32,73,1,60,1
85,1,0,0,0,0,0,0,0,0,1,1,10,3,251,7,74,0,0,2
86,1,0,1,1,0,1,1,1,0,1,4,8,0,455,33,72,0,0,2
87,0,0,0,1,0,0,0,0,0,1,-9,10,1,217,13,78,1,42,3
88,0,1,0,1,1,0,1,0,0,1,0,6,0,417,4,70,0,0,1
89,0,0,0,0,1,0,0,0,0,1,0,11,1,433,2,80,0,0,2
90,0,1,0,0,1,0,0,0,0,1,1,12,0,469,7,72,1,54,2
91,0,0,0,0,0,0,0,0,0,1,0,12,1,305,9,80,1,73,1
92,0,0,0,1,0,1,1,1,0,1,3,10,1,276,27,73,1,14,2
93,1,0,0,0,0,1,0,0,0,1,1,0,0,285,12,78,0,0,3
94,1,0,0,1,0,1,0,1,0,1,0,10,0,519,12,81,0,0,2
95,1,0,0,1,0,1,0,0,0,1,1,8,5,243,61,74,1,8,3
96,0,0,0,1,1,1,1,0,0,1,0,11,0,511,9,80,0,0,1
97,1,0,1,1,0,0,0,0,0,1,2,10,2,264,18,71,1,48,2
98,0,0,1,0,0,0,0,0,0,1,0,9,0,207,8,77,1,14,3
99,0,0,0,1,0,0,1,0,0,1,2,11,0,353,25,78,1,65,3
100,0,0,0,1,1,0,1,0,0,1,2,12,0,419,10,71,0,0,2
101,0,1,0,0,1,1,1,1,0,1,0,10,5,316,43,76,0,0,1
102,0,0,0,1,1,0,0,0,0,1,5,7,0,430,2,78,0,0,3
103,0,1,0,1,0,1,0,1,0,0,0,15,1,352,14,81,0,0,2
104,1,0,0,1,0,1,1,0,0,1,0,11,0,240,24,77,0,0,3
105,1,0,0,1,1,0,1,0,0,1,1,10,1,403,5,71,1,4,3
106,1,1,1,1,0,0,0,0,0,1,2,7,0,592,5,80,1,58,2
107,0,0,0,1,1,1,1,1,0,1,0,11,5,310,105,73,1,21,3
108,0,0,0,1,1,1,0,0,0,1,1,10,10,374,63,73,1,64,3
109,0,1,0,1,0,0,0,0,0,1,2,11,0,328,7,72,0,0,1
110,1,0,0,0,0,0,0,0,0,1,-9,0,0,336,0,78,1,7,3
111,1,0,0,1,0,0,1,0,0,1,0,9,0,264,12,80,0,0,3
112,1,1,1,1,1,0,0,0,0,1,0,9,0,235,6,74,0,0,2
113,0,0,0,0,0,0,0,0,0,1,2,10,2,277,9,78,1,25,2
114,1,1,1,1,0,1,1,1,0,1,-9,7,7,285,83,80,1,16,3
115,1,0,0,1,0,0,0,0,0,1,0,10,0,406,2,71,1,42,3
116,0,0,0,1,0,0,0,0,0,1,-9,9,0,336,2,78,1,13,3
117,1,0,0,1,0,0,0,0,0,1,0,8,0,251,1,80,0,0,3
118,1,1,0,1,1,0,1,0,0,1,0,10,1,278,19,76,1,7,1
